codigo_usina,mes,volume_referencia
57,3,1980.05
57,4,1943.1
57,5,1892.58
57,6,2032.71
57,7,1997.97
57,8,1870.95
57,9,1808.62
57,10,1818.28
57,11,1923.21
57,12,1858.57
61,1,8524.29
61,2,8598.22
61,3,8641.76
61,4,8672.73
61,5,8692.27
61,6,9171.39
61,7,9612.84
61,8,9500.45
61,9,8879.36
61,10,8582.07
61,11,8454.79
61,12,8149.16
62,1,677.0
62,2,677.0
62,3,677.0
62,4,677.0
62,5,677.0
62,6,677.0
62,7,677.0
62,8,677.0
62,9,677.0
62,10,677.0
62,11,677.0
62,12,677.0
63,1,1918.0
63,2,1918.0
63,3,1918.0
63,4,1918.0
63,5,1918.0
63,6,1918.0
63,7,1918.0
63,8,1918.0
63,9,1918.0
63,10,1918.0
63,11,1918.0
63,12,1918.0
66,1,27312.67
66,2,27239.07
66,3,27649.03
66,4,28008.2
66,5,28244.12
66,6,28929.31
66,7,28789.46
66,8,28023.88
66,9,27634.76
66,10,27996.86
66,11,27691.24
66,12,27029.07
71,1,366.4
71,2,355.7
71,3,351.19
71,4,339.08
71,5,342.72
71,6,381.7
71,7,386.19
71,8,333.29
71,9,301.49
71,10,316.85
71,11,330.36
71,12,319.62
72,1,33.96
72,2,33.81
72,3,33.77
72,4,33.78
72,5,33.8
72,6,34.02
72,7,34.07
72,8,33.86
72,9,33.83
72,10,33.86
72,11,33.8
72,12,33.85
74,1,4422.99
74,2,4248.78
74,3,4155.15
74,4,4155.04
74,5,4044.95
74,6,4753.38
74,7,5137.37
74,8,4729.66
74,9,4090.8
74,10,4091.26
74,11,4237.84
74,12,3782.23
76,1,2852.36
76,2,2849.0
76,3,2845.36
76,4,2828.87
76,5,2821.79
76,6,2874.51
76,7,2878.73
76,8,2860.07
76,9,2821.7
76,10,2802.16
76,11,2845.72
76,12,2792.37
77,1,5438.36
77,2,5429.54
77,3,5334.59
77,4,5410.1
77,5,5348.54
77,6,5896.62
77,7,6151.14
77,8,6176.06
77,9,5833.46
77,10,5482.32
77,11,5403.59
77,12,5199.25
78,1,1124.0
78,2,1124.0
78,3,1124.0
78,4,1124.0
78,5,1124.0
78,6,1124.0
78,7,1124.0
78,8,1124.0
78,9,1124.0
78,10,1124.0
78,11,1124.0
78,12,1124.0
82,1,3573.0
82,2,3573.0
82,3,3573.0
82,4,3573.0
82,5,3573.0
82,6,3573.0
82,7,3573.0
82,8,3573.0
82,9,3573.0
82,10,3573.0
82,11,3573.0
82,12,3573.0
83,1,195.31
83,2,202.24
83,3,199.95
83,4,201.59
83,5,200.25
83,6,197.85
83,7,201.64
83,8,199.84
83,9,201.33
83,10,203.63
83,11,193.85
83,12,195.31
86,1,3963.1
86,2,3750.53
86,3,3639.68
86,4,3584.34
86,5,3638.87
86,6,4078.62
86,7,4387.6
86,8,4367.93
86,9,4194.25
86,10,4201.43
86,11,4271.4
86,12,3884.82
89,1,280.5
89,2,270.32
89,3,276.12
89,4,271.05
89,5,271.19
89,6,289.04
89,7,280.84
89,8,268.62
89,9,274.29
89,10,284.79
89,11,278.68
89,12,269.67
90,1,1433.85
90,2,1417.33
90,3,1412.16
90,4,1406.99
90,5,1424.92
90,6,1433.57
90,7,1428.56
90,8,1413.83
90,9,1410.53
90,10,1419.76
90,11,1406.11
90,12,1399.92
91,1,2946.39
91,2,2917.11
91,3,2857.4
91,4,2851.68
91,5,2876.66
91,6,3024.73
91,7,3116.17
91,8,3022.36
91,9,2917.87
91,10,2942.24
91,11,2896.79
91,12,2722.32
92,1,5100.0
92,2,5100.0
92,3,5100.0
92,4,5100.0
92,5,5100.0
92,6,5100.0
92,7,5100.0
92,8,5100.0
92,9,5100.0
92,10,5100.0
92,11,5100.0
