data,6,7,17,18,24,25,31,33,37,40,47,49,61,122
nome,FURNAS,M. DE MORAES,MARIMBONDO,A. VERMELHA,EMBORCACAO,NOVA PONTE,ITUMBIARA,SAO SIMAO,BARRA BONITA,PROMISSAO,A.A. LAYDNER,CHAVANTES,CAPIVARA,SANTA BRANCA
2019_03_rv1,97.82,83.24,80.95,83.9,98.44,98.83,94.83,82.33,92.99,87.64,88.17,96.68,100,94.74
2019_03_rv2,98.11,85.48,82.83,86.05,98.64,98.99,95.52,84.68,94.15,89.29,89.54,96.68,100,94.74
2019_03_rv3,98.36,87.4,84.43,87.89,98.82,99.12,96.11,86.7,94.15,90.7,89.54,96.68,100,97.37
2019_03_rv4,98.64,89.52,86.22,89.94,99.02,99.27,96.77,88.95,94.54,92.29,95.08,98.03,100,97.37
2019_04_rv0,98.88,91.36,87.78,91.72,99.2,99.4,97.34,90.9,94.93,93.66,95.08,98.03,100,97.37
2019_04_rv1,99.24,94.2,90.13,94.41,99.46,99.6,98.21,93.86,95.71,95.72,95.08,96.72,100,100
2019_04_rv2,99.7,97.72,93.1,97.81,99.79,99.85,99.3,97.6,95.71,98.31,95.08,96.72,100,100
2019_04_rv3,99.92,99.36,94.47,99.4,99.94,99.95,99.81,99.33,95.71,99.53,90.92,95.42,100,100
2019_05_rv0,100,100,95,100,100,100,100,100,95.71,100,90.92,92.83,100,100
2019_05_rv1,100,100,95,100,100,100,100,100,95.71,100,88.17,92.83,100,100
2019_05_rv2,100,100,95,100,100,100,100,100,95.71,100,88.17,89.61,100,100
2019_05_rv3,100,100,95,100,100,100,100,100,95.71,100,85.44,89.61,100,100
2019_05_rv4,100,100,95,100,100,100,100,100,96.49,100,85.44,85.77,100,100
2019_06_rv0,100,100,95,100,100,100,100,100,98.83,100,85.44,85.77,100,100
2019_06_rv1,100,100,95,100,100,100,100,100,98.83,100,85.44,85.77,100,100
2019_06_rv2,100,100,95,100,100,100,100,100,99.22,100,86.8,87.05,100,100
2019_06_rv3,100,100,95,100,100,100,100,100,100,100,88.17,87.05,100,100
2019_07_rv0,100,100,95,100,100,100,100,100,100,100,88.17,89.61,100,100
2019_07_rv1,100,100,95,100,100,100,100,100,100,100,89.54,89.61,100,100
2019_07_rv2,100,100,95,100,100,100,100,100,100,100,89.54,90.89,100,100
2019_07_rv3,100,100,95,100,100,100,100,100,100,100,92.3,90.89,100,100
2019_08_rv0,100,100,95,100,100,100,100,100,100,100,92.3,95.42,100,100
2019_08_rv1,100,100,95,100,100,100,100,100,100,100,95.08,95.42,100,100
2019_08_rv2,100,100,95,100,100,100,100,100,100,100,95.08,98.03,100,100
2019_08_rv3,100,100,95,100,100,100,100,100,100,100,97.89,98.03,100,100
2019_08_rv4,100,100,95,100,100,100,100,100,100,100,97.89,98.03,100,100
2019_09_rv0,100,100,95,100,100,100,100,100,100,100,95.08,98.03,100,100
2019_09_rv1,100,100,95,100,100,100,100,100,100,100,95.08,95.42,100,100
2019_09_rv2,100,100,95,100,100,100,100,100,100,100,92.3,95.42,100,100
2019_09_rv3,100,100,95,100,100,100,100,100,100,100,92.3,95.42,100,100
2019_10_rv0,100,100,95,100,100,100,100,100,100,100,90.92,91.53,100,100
2019_10_rv1,100,100,95,100,100,100,100,100,100,100,90.92,90.89,100,100
2019_10_rv2,100,100,95,100,100,100,100,100,100,100,92.3,91.53,100,100
2019_10_rv3,100,100,95,100,100,100,100,100,100,100,95.78,95.42,100,100
2019_11_rv0,100,100,95,100,100,100,100,100,100,100,97.8,98.03,100,98.16
2019_11_rv1,99.98,99.84,94.89,99.86,99.98,99.99,99.96,99.86,99.96,99.91,97.8,98.03,100,97.37
2019_11_rv2,99.66,97.4,92.81,97.5,99.75,99.82,99.2,97.26,98.99,98.07,97.8,98.03,100,97.37
2019_11_rv3,98.27,86.68,83.84,87.21,98.76,99.08,95.9,85.96,94.86,90.18,97.8,98.03,100,97.37
2019_11_rv4,97.35,80,77.87,80.38,98.09,98.57,93.7,78.45,92.09,84.92,97.8,96.07,100,97.37
2019_12_rv0,96.44,80,72.02,72.66,97.44,98.08,91.54,70.67,89.4,78.76,94.15,96.07,100,97.37
2019_12_rv1,94.16,80,62.81,63.26,95.53,96.41,87.52,59.77,84.61,62.83,91.27,92.18,100,92.11
2019_12_rv2,92.62,80,62.57,62.97,95.5,96.38,87.43,59.44,84.49,41.26,89.11,87.05,100,92.11
2019_12_rv3,92.45,80,62.19,62.53,95.45,96.35,87.29,58.95,84.33,56.34,86.27,83.24,86.09,92.11
2020_01_rv0,92.84,80,61.84,62.14,95.41,96.32,87.16,58.52,84.18,70.68,86.27,80.72,83.87,92.11
2020_01_rv1,93.9,80,63.95,64.42,97.01,97.42,88.58,60.94,85.7,72.65,84.85,79.47,83.4,92.11
2020_01_rv2,94.31,80,67.97,69.01,97.01,97.76,90.05,65.97,87.65,76.17,83.72,76.36,83.4,92.11
2020_01_rv3,94.48,80,68.19,69.28,97.01,97.76,90.13,66.28,87.65,76.41,83.72,73.89,83.4,89.47
2020_01_rv4,95.18,80.8,70.55,71.83,97.83,98.04,90.96,69.08,89.2,78.38,83.72,73.89,83.4,84.21
2020_02_rv0,95.64,80,71.58,73.15,97.83,98.04,91.38,70.52,89.2,79.37,85.87,84.25,85.41,86.84
2020_02_rv1,95.88,80,74.62,76.65,97.83,98.3,92.5,74.35,90.61,82.05,87.44,87.94,88.66,89.47
2020_02_rv2,96.86,80,75.55,77.71,97.83,98.38,92.85,75.52,91.04,82.89,91.27,91.79,90.5,89.47
2020_02_rv3,97.33,80,78.17,80.73,98.19,98.6,93.81,78.83,92.24,85.2,91.27,91.79,92.65,94.74
2020_03_rv0,97.39,83.88,81.5,84.54,99.18,98.87,95.04,83.01,92.99,88.11,89.54,97.38,97.12,94.74
2020_03_rv1,97.5,86.08,83.4,86.69,99.31,99.04,95.73,85.4,94.54,89.8,89.48,98.03,97.12,94.74
2020_03_rv2,98.03,87.76,84.87,88.39,99.31,99.15,96.27,87.26,94.54,91.07,94.15,98.03,97.12,94.74
2020_03_rv3,98.63,89.44,86.77,90.58,99.31,99.32,96.97,89.64,94.93,92.76,97.8,98.03,97.12,94.74
2020_04_rv0,98.96,91.96,88.4,92.44,99.31,99.45,97.57,91.7,94.93,94.17,97.8,98.03,97.12,100
2020_04_rv1,99.3,94.6,90.46,94.8,99.49,99.62,98.33,94.3,95.32,96.01,97.8,98.03,100,100
2020_04_rv2,99.65,97.28,92.72,97.39,99.75,99.81,99.16,97.15,95.71,97.98,97.8,98.03,100,100
2020_04_rv3,100,100,95,100,100,100,100,100,95.71,100,97.07,98.03,100,100
2020_05_rv0,100,100,95,100,100,100,100,100,95.71,100,94.15,96.07,100,100
2020_05_rv1,100,100,95,100,100,100,100,100,95.71,100,91.6,90.89,100,100
2020_05_rv2,100,100,95,100,100,100,100,100,95.71,100,88.85,88.96,100,100
2020_05_rv3,100,100,95,100,100,100,100,100,95.71,100,86.12,88.32,100,100
2020_05_rv4,100,100,95,100,100,100,100,100,96.49,100,85.44,88.32,100,100
2020_06_rv0,100,100,95,100,100,100,100,100,98.83,100,85.44,88.32,100,100
2020_06_rv1,100,100,95,100,100,100,100,100,98.83,100,85.44,88.32,100,100
2020_06_rv2,100,100,95,100,100,100,100,100,99.22,100,87.62,88.32,100,100
2020_06_rv3,100,100,95,100,100,100,100,100,100,100,88.3,84.89,100,100
2020_07_rv0,100,100,95,100,100,100,100,100,100,100,88.99,89.09,100,100
2020_07_rv1,100,100,95,100,100,100,100,100,100,100,88.99,89.09,100,100
2020_07_rv2,100,100,95,100,100,100,100,100,100,100,91.6,91.41,100,100
2020_07_rv3,100,100,95,100,100,100,100,100,100,100,91.6,91.41,100,100
2020_07_rv4,100,100,95,100,100,100,100,100,100,100,91.6,91.92,100,100
2020_08_rv0,100,100,95,100,100,100,100,100,100,100,96.2,96.33,100,100
2020_08_rv1,100,100,95,100,100,100,100,100,100,100,97.88,98.03,100,100
2020_08_rv2,100,100,95,100,100,100,100,100,100,100,97.88,98.03,100,100
2020_08_rv3,100,100,95,100,100,100,100,100,100,100,97.88,98.03,100,100
2020_09_rv0,100,100,95,100,100,100,100,100,100,100,94.38,94.9,100,100
2020_09_rv1,100,100,95,100,100,100,100,100,100,100,94.38,94.38,100,100
2020_09_rv2,100,100,95,100,100,100,100,100,100,100,93.68,94.38,100,100
2020_09_rv3,100,100,95,100,100,100,100,100,100,100,93.68,96.18,100,100
2020_10_rv0,100,100,95,100,100,100,100,100,100,100,90.64,90.63,100,100
2020_10_rv1,100,100,95,100,100,100,100,100,100,100,90.64,90.63,100,100
2020_10_rv2,100,100,95,100,100,100,100,100,100,100,95.92,95.45,100,100
2020_10_rv3,100,100,95,100,100,100,100,100,100,100,95.92,95.45,100,100
2020_10_rv4,100,100,95,100,100,100,100,100,100,100,95.92,95.45,100,100
2020_11_rv0,100,100,90.99,100,100,100,100,100,100,100,95.92,95.42,100,98.16
2020_11_rv1,99.74,98,90.99,98.07,99.81,99.86,99.38,97.87,99.22,98.5,93.13,91.53,100,97.37
2020_11_rv2,98.94,91.8,88.14,92.15,99.23,99.43,97.48,91.37,96.84,93.98,93.13,91.53,100,97.37
2020_11_rv3,97.55,81.16,79.2,81.91,98.24,98.68,94.19,80.13,92.71,86.09,90.37,87.69,100,97.37
2020_12_rv0,96.64,80,73.35,74.48,97.59,98.2,92.03,72.74,90.02,79.93,90.37,87.69,100,97.37
